ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
ASD0045,"motor coordinations, visual",B1,repetitive motor movements,C0042828,
ASD0046,autistic behaviors,B2,ritualized patterns of nonverbal behavior,C0856975,
ASD0047,speech and language regression,A2,abnormalities in body language,C3553204,
ASD0048,deficiencies of nonverbal communication skills,A2,nonverbal communication,C2156813,
ASD0049,novelty-seeking behavior,B2,ritualized patterns of nonverbal behavior,C0086716,
ASD0050,muscle rigidity,B1,stereotyped motor movements,C0026837,
ASD0051,developmental receptive language disorder,E,intellectual developmental disorder,C0011768,
ASD0052,social interaction,A1,failure to initiate social interactions,C0037420,
ASD0053,problematic behaviour in children,B2,ritualized patterns of nonverbal behavior,C0474413,
ASD0054,severe intellectual disabilities,E,intellectual disability,C0036857,
ASD0055,facial expressions,A2,lack of facial expressions,C0015457,
ASD0056,limited speech,A2,poorly integrated verbal communication,C0581878,
ASD0057,"restricted, repetitive, and stereotyped patterns",B1,stereotyped motor movements,C4064201,
ASD0058,speech pragmatics,B1,echolalia,C2018077,
ASD0059,initiating social interactions,A1,failure to initiate social interactions,C2372078,
ASD0060,nonverbal learning disorder,A2,nonverbal communication,C2732653,
ASD0061,intellectual developmental disorder with autism and speech delay,E,intellectual developmental disorder,C1853755,
ASD0062,visuospatial ability,B1,use of objects,C0814069,
ASD0063,malignant  neuroleptic syndrome,E,intellectual developmental disorder,C0027849,
ASD0064,difficulty problem solving,A3,difficulties adjusting behavior,C0423906,
ASD0065,difficulty using pragmatics in communication,A2,nonverbal communication,C4274555,
ASD0066,stereotyped,B1,stereotyped motor movements,C0038272,
ASD0067,wasi-ii verbal standard score,A2,poorly integrated verbal communication,C4027384,
ASD0068,difficulty playing,A3,difficulties in sharing imaginative play,C0577491,
ASD0069,social cues in relationships,A1,failure to initiate social interactions,C2371537,
ASD0070,toe-walking gait,B1,stereotyped motor movements,C0427144,
ASD0071,destructive behavior,B2,ritualized patterns of verbal behavior,C0233520,
ASD0072,bangs head,B1,echolalia,C0018672,
ASD0073,ritual compulsion,B2,insistence on sameness,C0233622,
ASD0074,dangerous behavior,B2,ritualized patterns of nonverbal behavior,C0010967,
ASD0075,impulsive aggression,B2,ritualized patterns of verbal behavior,C0858853,
ASD0076,cognitive developmental delay,E,global developmental delay,C1959866,
ASD0077,"jaundice, intermittent (in some patients)",B4,unusual interest in sensory aspects of the environment,C3806126,
ASD0078,horner's syndrome,E,intellectual developmental disorder,C0019937,
ASD0079,maintaining social interactions,A1,failure to respond to social interactions,C2372079,
ASD0080,rigid behavior,B2,rigid thinking patterns,C0231517,
ASD0081,poor focus,B3,highly fixated interests,C0423044,
ASD0082,decreased nonverbal iq,A2,nonverbal communication,C1865897,
ASD0083,reciprocity,A1,social-emotional reciprocity,C0871226,
ASD0084,thought processes executive functions problem-solving,B1,echolalia,C2115901,
ASD0085,social communication disorder,A2,nonverbal communication,C0150080,
ASD0086,bites self,B1,echolalia,C0424375,
ASD0087,self-stimulative behaviour,B2,ritualized patterns of nonverbal behavior,C0562476,
ASD0088,impaired attentional and executive function,A2,deficits in understanding and use of gestures,C2678119,
ASD0089,disruptive impulse control and conduct disorder,E,intellectual developmental disorder,C0021122,
ASD0090,deficit in expressive language,A2,abnormalities in body language,C1847610,
ASD0091,communication skills questionnaire score,A2,nonverbal communication,C2960300,
ASD0092,high-pitched voice,A1,failure of normal back-and-forth conversation,C0241703,
ASD0093,"syndrome, sweet",B2,eat same food,C0085077,
ASD0094,other childhood emotional disorders,E,intellectual developmental disorder,C0349339,
ASD0095,nasal tone to voice,B4,hyper-reactivity to sensory input,C1821250,
ASD0096,disordered thoughts,B2,rigid thinking patterns,C2115875,
ASD0097,"syndromes, fragile x",E,intellectual developmental disorder,C0016667,
ASD0098,restrictive behaviour,B2,ritualized patterns of nonverbal behavior,C4021799,
ASD0099,prosody,A2,lack of facial expressions,C0233743,
ASD0100,mental impairment,E,intellectual disability,C0683322,
ASD0101,sensory integrative dysfunction,B4,hyper-reactivity to sensory input,C0877083,
ASD0102,mannerisms,B1,echolalia,C0233576,
ASD0103,poor eye contact,A2,abnormalities in eye contact,C1445953,
ASD0104,developmental delay in receptive-expressive language,E,global developmental delay,C3840154,
ASD0105,socially inappropriate behavior,B2,ritualized patterns of nonverbal behavior,C2220010,
ASD0106,nonverbal communication in infants,A2,nonverbal communication,C3825303,
ASD0107,physical aggression,B2,ritualized patterns of verbal behavior,C0424323,
ASD0108,global developmental delay,E,global developmental delay,C0557874,
ASD0109,difficulty organizing tasks,B2,difficulties with transitions,C1820701,
ASD0110,ability to perform cognitive activity,B4,visual fascination with movement,C0392334,
ASD0111,language ability,A2,abnormalities in body language,C1145677,
ASD0112,stereotypic hand movements,B1,stereotyped motor movements,C2678184,
ASD0113,semantic-pragmatic disorder,E,intellectual developmental disorder,C0454655,
ASD0114,uses imagination during play activities,A3,difficulties in sharing imaginative play,C0518198,
ASD0115,difficulty using language,A2,abnormalities in body language,C0564213,
ASD0116,"activities, leisure",A3,difficulties in making friends,C0023292,
ASD0117,manic episode,B1,echolalia,C0349208,
ASD0118,"gratification, delayed",B1,echolalia,C0870398,
ASD0119,limited expressive language,A2,abnormalities in body language,C2673260,
ASD0120,lennox gastaut syndromes,E,intellectual disability,C0238111,
ASD0121,difficulty expressing intimacy,A3,difficulties in making friends,C0237208,
ASD0122,crying behavior,B2,ritualized patterns of nonverbal behavior,C2610396,
ASD0123,"syndrome, west",E,intellectual developmental disorder,C0037769,
ASD0124,"developmental delay, significant",E,intellectual developmental disorder,C3553876,
ASD0125,very limited,B3,highly restricted interests,C3845947,
ASD0126,"intoxication; alcohol, idiosyncratic",B1,idiosyncratic phrases,C0001950,
ASD0127,verbal communication,A2,poorly integrated verbal communication,C0150820,
ASD0128,social skills,A1,abnormal social approach,C0679005,
ASD0129,interest,B3,highly restricted interests,C0543488,
ASD0130,articulation disorders,E,intellectual developmental disorder,C0003910,
ASD0131,intellectual delay,E,intellectual developmental disorder,C1839029,
ASD0132,language problems,A2,abnormalities in body language,C1405458,
ASD0133,severe expressive language delay,E,global developmental delay,C1851085,
ASD0134,speech language,A2,abnormalities in body language,C0237113,
ASD0135,idiosyncratic language,B1,idiosyncratic phrases,C4064943,
ASD0136,atypical autism,E,intellectual developmental disorder,C0338986,
ASD0137,visual short-term memory performance,B4,visual fascination with movement,C0561744,
ASD0138,"stimulation, self",B3,preoccupation,C0036602,
ASD0139,preoccupied,B3,preoccupation,C0424538,
ASD0140,participates in social interaction,A1,failure to respond to social interactions,C0517029,
ASD0141,repetition of phrases,B1,idiosyncratic phrases,C0233741,
ASD0142,"development, language",A2,abnormalities in body language,C0023013,
ASD0143,obsessive behaviour,B2,ritualized patterns of verbal behavior,C0028765,
ASD0144,head-nodding,A2,abnormalities in eye contact,C0549240,
ASD0145,expressive language delay,E,global developmental delay,C0454641,
ASD0146,difficulty communicating thoughts,A3,difficulties in making friends,C0566183,
ASD0147,retts syndrome,E,intellectual disability,C0035372,
ASD0148,cognitive impairment caused by developmental disability,E,intellectual disability,C0548845,
ASD0149,imitation,B1,echolalia,C3826143,
ASD0150,concrete thinking,B2,rigid thinking patterns,C0233641,
ASD0151,interest narrowness,B3,excessively circumscribed interest,C0240029,
ASD0152,tapering fingers (finding),B1,repetitive motor movements,C0426886,
ASD0153,personal care impairment,A2,deficits in understanding and use of gestures,C0556279,
ASD0154,efficacy lack of,A2,lack of nonverbal communication,C0235828,
ASD0155,social difficulties,A3,difficulties in making friends,C4015169,
ASD0156,verbal learning,B2,ritualized patterns of verbal behavior,C0042531,
ASD0157,undue concern and preoccupation with stressful events,B3,preoccupation,C0476548,
ASD0158,difficulty communicating feelings,A3,difficulties in making friends,C0566189,
ASD0159,scratching other person,B4,excessive touching of objects,C0562594,
ASD0160,autistic-like behavior,B2,ritualized patterns of nonverbal behavior,C1839793,
ASD0161,difficulty maintaining conversation,A1,failure of normal back-and-forth conversation,C0566093,
ASD0162,behavioral changes consistent with an autistic disorder,E,intellectual developmental disorder,C1845866,
ASD0163,verbal communication difficulty reading listener cues,A2,nonverbal communication,C2189305,
ASD0164,"disorders, language development",E,intellectual developmental disorder,C0023014,
ASD0165,self-directed care behaviour,B2,ritualized patterns of verbal behavior,C1319136,
ASD0166,decreased libido,A1,reduced sharing of affect,C0011124,
ASD0167,emotional self-management,A1,reduced sharing of emotions,C0814066,
ASD0168,loss of developmental milestones,E,global developmental delay,C1836550,
ASD0169,phonemic awareness,B1,echolalia,C1510626,
ASD0170,learning through pretend play,A3,difficulties in sharing imaginative play,C2371970,
ASD0171,socially immature for age,A2,poorly integrated nonverbal communication,C3862375,
ASD0172,nonverbal,A2,nonverbal communication,C0746940,
ASD0173,lack of spontaneous speech,A2,lack of nonverbal communication,C0855217,
ASD0174,affect (mental function),A1,reduced sharing of affect,C0001721,
ASD0175,verbal apraxia,B2,ritualized patterns of verbal behavior,C0349391,
ASD0176,"tic disorders, motor",B1,simple motor stereotypies,C0751554,
ASD0177,speech and language:behavior,B1,echolalia,C0946398,
ASD0178,"undersocialized conduct disorder, aggressive type, mild",A1,abnormal social approach,C0154600,
ASD0179,lack (of),confidence,A2,lack of facial expressions,C0558092
ASD0180,microdeletion syndrome,E,intellectual disability,C1954751,
ASD0181,milestone: has a social smile,A2,lack of facial expressions,C2198595,
ASD0182,phonation apraxias,B1,echolalia,C0264611,
ASD0183,depressive syndrome,B3,preoccupation,C0086133,
ASD0184,non-verbal auditory hallucinations,A2,nonverbal communication,C0424069,
ASD0185,aggressive biting,B4,excessive touching of objects,C0233534,
ASD0186,toe deformity progressively worsening,E,global developmental delay,C2128990,
ASD0187,work difficulty,B2,difficulties with transitions,C4061972,
ASD0188,organisational skills,A2,nonverbal communication,C0589042,
ASD0189,grunting (observable entity),B1,echolalia,C0234892,
ASD0190,developmental syntactic impairment,E,intellectual developmental disorder,C0454649,
ASD0191,obsessions,B3,preoccupation,C0233697,
ASD0192,delays language receptive,A2,abnormalities in body language,C0454642,
ASD0193,body rocking,A2,abnormalities in body language,C0005899,
ASD0194,attention and concentration deficit,A2,deficits in understanding and use of gestures,C2977673,
ASD0195,"poor motor coordination, fine and gross",B1,repetitive motor movements,C1855555,
ASD0196,behaviors disinhibited,B2,ritualized patterns of nonverbal behavior,C0474398,
ASD0197,congenital pain insensitivity,B4,apparent indifference to pain,C0002768,
ASD0198,decreased facial expressions,A2,lack of facial expressions,C1862474,
ASD0199,"spasms, nodding",B1,stereotyped motor movements,C0546878,
ASD0200,smiling,A2,lack of facial expressions,C0037363,
ASD0201,engages in creative play,A3,difficulties in sharing imaginative play,C1822065,
ASD0202,difficulty eating certain foods,B2,eat same food,C0566314,
ASD0203,speech language disorder,A2,abnormalities in body language,C0023009,
ASD0204,difficulties with fine motor skills and coordination,B2,difficulties with transitions,C4015243,
ASD0205,autistic feature,B1,echolalia,C1846135,
ASD0206,psychotic symptoms,B1,echolalia,C0871189,
ASD0207,unpleasant visual stimuli,B4,excessive touching of objects,C4060719,
ASD0208,vocalization (finding),B1,echolalia,C0564182,
ASD0209,sensory integration disorder,E,intellectual developmental disorder,C1960557,
ASD0210,communication impairment,A2,nonverbal communication,C0009460,
ASD0211,developmental expressive language disorder,E,intellectual developmental disorder,C0236826,
ASD0212,aggressive outburst,B1,echolalia,C0554985,
ASD0213,"disabilities, developmental",E,intellectual disability,C0008073,
ASD0214,developmental delay (disorder),E,global developmental delay,C0424605,
ASD0215,delayed fine motor skills,B1,repetitive motor movements,C2164866,
ASD0216,difficulty imitating gesture,A2,deficits in understanding and use of gestures,C0566243,
ASD0217,autism or autistic features,E,intellectual developmental disorder,C3553159,
ASD0218,"eyes, lazy",A2,abnormalities in eye contact,C0422955,
ASD0219,impaired social reciprocity,A1,social-emotional reciprocity,C4022736,
ASD0220,uncombable hair syndrome,E,intellectual developmental disorder,C0432347,
ASD0221,aggressiveness (family a),B2,ritualized patterns of nonverbal behavior,C4229418,
ASD0222,social engagement,A1,abnormal social approach,C2937292,
ASD0223,marked change in behavior,B2,ritualized patterns of nonverbal behavior,C4060879,
ASD0224,demonstrated behavior multiple patterns,B2,ritualized patterns of nonverbal behavior,C2165331,
ASD0225,impaired executive function (in some patients),A2,deficits in understanding and use of gestures,C3554323,
ASD0226,receptive  language,A2,abnormalities in body language,C1406026,
ASD0227,outbursts,B1,echolalia,C1845248,
ASD0228,silver-russell syndrome,E,global developmental delay,C0175693,
ASD0229,unusual behavior,A3,difficulties adjusting behavior,C2188220,
ASD0230,asperger syndrome,E,intellectual developmental disorder,C0236792,
ASD0231,attention deficit-hyperactivity,B3,excessively perseverative interest,C1399930,
ASD0232,communicative limitation,A2,nonverbal communication,C1830739,
ASD0233,pervasive development disorders,E,intellectual developmental disorder,C0524528,
ASD0234,language delay,A2,abnormalities in body language,C0023012,
ASD0235,active but odd autism,E,intellectual developmental disorder,C2711410,
ASD0236,difficulty in use of facial expressions,A2,lack of facial expressions,C4062278,
ASD0237,idiosyncratic language self-stimulatory vocalizations,B1,idiosyncratic phrases,C4064940,
ASD0238,mild receptive language delay,E,global developmental delay,C3532948,
ASD0239,developmental language comprehension impairment,A2,abnormalities in body language,C4274439,
ASD0240,neurodevelopmental delay,E,global developmental delay,C4022738,
ASD0241,difficulty comprehending written material,A3,difficulties in making friends,C4274566,
ASD0242,lack of communication,A2,lack of nonverbal communication,C1845268,
ASD0243,uses phrases of two to three words,B1,idiosyncratic phrases,C0517108,
ASD0244,deficit behaviour,A3,difficulties adjusting behavior,C0562445,
ASD0245,mental process,B1,echolalia,C0025361,
ASD0246,syndrome dyskinetic,B1,simple motor stereotypies,C0013384,
ASD0247,delayed developmental milestones language,A2,abnormalities in body language,C2164864,
ASD0248,very poor,B3,strong attachment,C3641766,
ASD0249,irritant behavior,B2,ritualized patterns of verbal behavior,C0348027,
ASD0250,contacts eye,A2,abnormalities in eye contact,C0870532,
ASD0251,sensory (qualifier value),B4,hyper-reactivity to sensory input,C0445254,
ASD0252,self awareness,B1,echolalia,C3146223,
ASD0253,hand posturing,B1,repetitive motor movements,C0744569,
ASD0254,biting other person,B4,excessive touching of objects,C0562590,
ASD0255,clonic movement,B1,stereotyped motor movements,C0857332,
ASD0256,biting own hand (finding),B4,excessive touching of objects,C0424372,
ASD0257,fine motor impairment,B1,simple motor stereotypies,C0556281,
ASD0258,writing (function),A2,nonverbal communication,C2584304,
ASD0259,hypersensitivity to sound,B4,adverse response to specific sounds,C1860294,
ASD0260,difficulty using non-verbal communication,A2,nonverbal communication,C0566009,
ASD0261,poor fine motor skills,B1,simple motor stereotypies,C4014389,
ASD0262,cornelia de lange syndrome,E,intellectual disability,C0270972,
ASD0263,difficulty understanding native language,A2,abnormalities in body language,C2183452,
ASD0264,speech deficits,A2,deficits in understanding and use of gestures,C3810226,
ASD0265,uncontrolled behavior,B2,ritualized patterns of nonverbal behavior,C0474399,
ASD0266,psychotic behavior,B2,ritualized patterns of nonverbal behavior,C0740409,
ASD0267,poor reading skills,A2,lack of nonverbal communication,C0860101,
ASD0268,inhibited behaviour,B2,ritualized patterns of nonverbal behavior,C0564490,
ASD0269,speech disorder,E,intellectual developmental disorder,C0037822,
ASD0270,difficulty writing,A3,difficulties adjusting behavior,C0584995,
ASD0271,self soothing repetitive behaviour,B2,ritualized patterns of nonverbal behavior,C3854597,
ASD0272,"cognitive; disorder, mild",E,intellectual developmental disorder,C1270972,
ASD0273,refrains from verbal outbursts,B2,ritualized patterns of verbal behavior,C0516654,
ASD0274,jump,B1,stereotyped motor movements,C0221189,
ASD0275,specific learning disorder,E,intellectual developmental disorder,C4042933,
ASD0276,self-injurious behavior (in some patients),B2,ritualized patterns of verbal behavior,C4017769,
ASD0277,withdrawal symptoms,B1,simple motor stereotypies,C0087169,
ASD0278,scratches self,B4,excessive touching of objects,C0424374,
ASD0279,cognitive problems,A3,difficulties adjusting behavior,C3842628,
ASD0280,parental concerns: sleeping,A1,social-emotional reciprocity,C2034434,
ASD0281,finger flicking,B1,repetitive motor movements,C0233592,
ASD0282,autistic children,E,intellectual developmental disorder,C0175842,
ASD0283,difficulty controlling aggression,A3,difficulties adjusting behavior,C0562571,
ASD0284,goal weight in pounds,B3,preoccupation,C2012267,
ASD0285,minimal to absent speech,B1,echolalia,C3810435,
ASD0286,substance use disorder,E,intellectual developmental disorder,C0038586,
ASD0287,verbal behavior,B2,ritualized patterns of verbal behavior,C0042530,
ASD0288,resistance to changes in environment,B4,unusual interest in sensory aspects of the environment,C0424272,
ASD0289,borderline cognitive developmental delay,E,global developmental delay,C3531748,
ASD0290,severe expressive speech delay,B1,echolalia,C1867123,
ASD0291,cognition disorders,E,intellectual developmental disorder,C0009241,
ASD0292,difficulty understanding own emotions,A1,reduced sharing of emotions,C0564406,
ASD0293,combining words into phrases,B1,idiosyncratic phrases,C2371976,
ASD0294,abnormal vocalization,A1,abnormal social approach,C3687424,
ASD0295,"syndrome, refeeding",B2,eat same food,C0860549,
ASD0296,phonological awareness,A2,abnormalities in body language,C1510627,
ASD0297,delayed developmental milestones,E,global developmental delay,C0476241,
ASD0298,finding of ability to hear loud voice,B4,adverse response to specific sounds,C0423542,
ASD0299,frontal lobe and executive function deficit,A2,deficits in understanding and use of gestures,C2921140,
ASD0300,social disinhibition,A1,abnormal social approach,C0424296,
ASD0301,hand flapping (physical finding),B1,repetitive motor movements,C0424247,
ASD0302,withdrawn,A1,reduced sharing of affect,C0424092,
ASD0303,regression of early motor skills,B1,stereotyped motor movements,C4014493,
ASD0304,foot tapping,B1,repetitive motor movements,C0233585,
ASD0305,"speech and language delay, severe",A2,abnormalities in body language,C1845863,
ASD0306,limited spoken vocabulary,A2,abnormalities in body language,C2183954,
ASD0307,latency of speech response,B1,echolalia,C0233717,
ASD0308,verbal,B2,ritualized patterns of verbal behavior,C0439824,
ASD0309,dropped head syndrome,E,intellectual developmental disorder,C3266164,
ASD0310,cognitive functions,E,intellectual developmental disorder,C0392335,
ASD0311,self-induced vomiting,B1,echolalia,C0232600,
ASD0312,behavior is peer group influenced,B2,ritualized patterns of nonverbal behavior,C3162300,
ASD0313,autism or autistic-like condition,E,intellectual developmental disorder,C1841787,
ASD0314,overactive,B4,hyper-reactivity to sensory input,C0443272,
ASD0315,difficulty inferring meaning,B2,difficulties with transitions,C0588399,
ASD0316,communication delay,A2,nonverbal communication,C4280573,
ASD0317,repetition with secondary hand flapping,B1,repetitive motor movements,C2170451,
ASD0318,other pervasive developmental disorders,E,intellectual developmental disorder,C0349331,
ASD0319,"x syndrome, metabolic",E,intellectual developmental disorder,C0524620,
ASD0320,partner's behaviour problem,B2,ritualized patterns of nonverbal behavior,C0497511,
ASD0321,oppositional defiant disorder,E,intellectual developmental disorder,C0029121,
ASD0322,cogwheel rigidity,B1,stereotyped motor movements,C0151564,
ASD0323,behavioral tic,B2,ritualized patterns of nonverbal behavior,C0278076,
ASD0324,emotional regulation,A1,reduced sharing of emotions,C2370884,
ASD0325,medication regimen behaviour finding,A3,difficulties adjusting behavior,C1828392,
ASD0326,attention span,B4,unusual interest in sensory aspects of the environment,C0679046,
ASD0327,significant difficulty in verbal and non-verbal communication,A2,nonverbal communication,C4064081,
ASD0328,problem,B2,eat same food,C0850751,
ASD0329,aggression towards parent,B2,ritualized patterns of verbal behavior,C2215660,
ASD0330,communication,A2,nonverbal communication,C0009452,
ASD0331,temper outbursts,B1,echolalia,C4062259,
ASD0332,langer-giedion syndrome,E,intellectual developmental disorder,C0023003,
ASD0333,harsh voice quality,B4,adverse response to specific sounds,C0234804,
ASD0334,mood euphoric,B1,echolalia,C0235146,
ASD0335,autism (in some patients),E,intellectual developmental disorder,C3809495,
ASD0336,"dementia, with aggressive behavior",B2,ritualized patterns of nonverbal behavior,C3161184,
ASD0337,complex mannerisms - behaviour,B2,ritualized patterns of nonverbal behavior,C0474411,
ASD0338,poor language,A2,abnormalities in body language,C3810456,
ASD0339,abnormality of the voice,A2,abnormalities in body language,C4021776,
ASD0340,delinquent behaviour,B2,ritualized patterns of verbal behavior,C0522174,
ASD0341,ability to control emotions,A1,reduced sharing of emotions,C0563712,
ASD0342,syndrome angelman,E,intellectual disability,C0162635,
ASD0343,identifies with same-sex peer group,A3,absence of interest in peers,C0517165,
ASD0344,wppsi-iv verbal comprehension index standard score,A2,poorly integrated verbal communication,C4027305,
ASD0345,moderate cognitive impairment,E,intellectual disability,C3839816,
ASD0346,language / communication,A2,nonverbal communication,C3836954,
ASD0347,speech articulation,B1,echolalia,C0237479,
ASD0348,agitated  state,B1,echolalia,C1398083,
ASD0349,communication behavior,A2,nonverbal communication,C0178556,
ASD0350,play impairment stares blankly at play objects rather than manipulating them,A3,difficulties in sharing imaginative play,C4064319,
ASD0351,excessive talking,A1,failure of normal back-and-forth conversation,C1820711,
ASD0352,tends to be sensitive to criticism,B3,excessively perseverative interest,C0564664,
ASD0353,hoarding behavior,A3,difficulties adjusting behavior,C1510614,
ASD0354,shared cooperative play,A3,difficulties in sharing imaginative play,C2372114,
ASD0355,garbled words,B1,idiosyncratic phrases,C2010447,
ASD0356,emotional impulsivity,A1,social-emotional reciprocity,C0233461,
ASD0357,"synovitis, acne, pustulosis, hyperostosis, and osteitis syndrome",A2,abnormalities in body language,C0263859,
ASD0358,aggressive behavior (2 patients),B2,ritualized patterns of nonverbal behavior,C3150609,
ASD0359,lack of awareness finding,A2,lack of nonverbal communication,C0589402,
ASD0360,interacts with peers,A3,absence of interest in peers,C1822049,
ASD0361,difficulty with sexual behavior,A3,difficulties adjusting behavior,C4061761,
ASD0362,difficulty with abstract arithmetic processes,B2,difficulties with transitions,C2183462,
ASD0363,behaviour obsessive compulsive,B2,ritualized patterns of verbal behavior,C0600104,
ASD0364,self injurious behavior,B2,ritualized patterns of nonverbal behavior,C0085271,
ASD0365,hyperactive behaviour,B2,ritualized patterns of nonverbal behavior,C0424295,
ASD0366,fine motor delay,E,global developmental delay,C1735324,
ASD0367,behavior bizarre,B2,ritualized patterns of nonverbal behavior,C0474407,
ASD0368,abnormal movements,A1,abnormal social approach,C0558189,
ASD0369,friendships,A1,social-emotional reciprocity,C0178647,
ASD0370,language development limited to a few words,A2,abnormalities in body language,C3552687,
ASD0371,poor adaptive skills,A2,poorly integrated nonverbal communication,C4014388,
ASD0372,absent speech,B1,echolalia,C1854882,
ASD0373,pulling at the ear(s),B2,extreme distress at small changes,C0847233,
ASD0374,skin-picking,B1,echolalia,C1696701,
ASD0375,social cognition,A1,social-emotional reciprocity,C0871381,
ASD0376,behavioral disorder  adjustment reaction,A3,difficulties adjusting behavior,C1385300,
ASD0377,speech nonverbal communication skills body language,A2,nonverbal communication,C2018048,
ASD0378,test of adolescent/adult word finding (tawf) category naming raw score,B1,echolalia,C2057535,
ASD0379,difficulty turning,A3,difficulties adjusting behavior,C0555093,
ASD0380,"generalizations, psychological",B1,echolalia,C0017324,
ASD0381,difficulty finding desired words,B2,difficulties with transitions,C2183417,
ASD0382,shows interest in auditory stimuli,B4,unusual interest in sensory aspects of the environment,C0517046,
ASD0383,brief global executive composite t-score,A1,social-emotional reciprocity,C4066153,
ASD0384,noonan syndrome,E,intellectual developmental disorder,C0028326,
ASD0385,celf-4 core language score,A2,abnormalities in body language,C4029827,
ASD0386,quality of voice,B1,echolalia,C0042943,
ASD0387,difficulty responding to communication by others,A2,nonverbal communication,C0566159,
ASD0388,language acquisition difficulties (in some patients),A2,abnormalities in body language,C3806920,
ASD0389,insufficient interest in learning,B4,unusual interest in sensory aspects of the environment,C4060627,
ASD0390,verbal response,B2,ritualized patterns of verbal behavior,C3846697,
ASD0391,poor speech,A2,poorly integrated verbal communication,C1848207,
ASD0392,mild developmental articulation disorder,E,intellectual developmental disorder,C3697816,
ASD0393,watery eyes,A2,abnormalities in eye contact,C3257803,
ASD0394,safe behavior,A3,difficulties adjusting behavior,C0814103,
ASD0395,"cognitive decline, rapid",E,intellectual developmental disorder,C2750110,
ASD0396,maintains good eye contact,A2,abnormalities in eye contact,C1303014,
ASD0397,managing aggressive behavior,A1,failure to respond to social interactions,C3650708,
ASD0398,delayed speech and language development,B1,echolalia,C0454644,
ASD0399,verbal comprehension,B2,ritualized patterns of verbal behavior,C0871570,
ASD0400,sensory impairment (in some patients),B4,unusual interest in sensory aspects of the environment,C3809741,
ASD0401,emotional problems,A1,reduced sharing of emotions,C0677660,
ASD0402,behavioral symptom,B2,ritualized patterns of nonverbal behavior,C0004941,
